"City1";"Country1";"City2";"Country2";"Year";"k50";"k100";"k150";"k200";"H1";"H2";"Hboth"
"Keminmaa";"Finland";"Apatity";"Russia";"0";"0";"0";"0";"0";0;0;0
"Kiukainen";"Finland";"Boksitogorsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Harjavalta";"Finland";"Boksitogorsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Nakkila";"Finland";"Boksitogorsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Raahe";"Finland";"Cherepovets";"Russia";"0";"0";"0";"0";"0";0;0;0
"Kemijarvi";"Finland";"Kandalaksha";"Russia";"0";"0";"0";"0";"0";0;0;0
"Vantaa";"Finland";"Kineshma";"Russia";"1969";"0";"0";"0";"0";0;0;0
"Raisio";"Finland";"Kingisepp";"Russia";"1975";"1";"1";"1";"1";0;0;0
"Iisalmi";"Finland";"Kirishi";"Russia";"0";"0";"0";"0";"0";0;0;0
"Tornio";"Finland";"Kirovsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Lappeenranta";"Finland";"Klin";"Russia";"1966";"0";"0";"0";"0";0;0;0
"Kuhmo";"Finland";"Kostomuksha";"Russia";"0";"0";"0";"0";"0";0;0;0
"Hyvinkaa";"Finland";"Kostroma";"Russia";"0";"0";"0";"0";"0";0;0;0
"Salla";"Finland";"Kovdor";"Russia";"0";"0";"0";"0";"0";0;0;0
"Kotka";"Finland";"Kronstadt";"Russia";"1993";"1";"1";"1";"1";0;0;0
"Mikkeli";"Finland";"Luga";"Russia";"0";"0";"0";"1";"1";0;0;0
"Lohja";"Finland";"Mozhaysk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Uusikaupunki";"Finland";"Novgorod";"Russia";"1965";"0";"0";"0";"1";0;0;0
"Hyrynsalmi";"Finland";"Olonets";"Russia";"0";"0";"0";"0";"0";0;0;0
"Mikkeli";"Finland";"Olonets";"Russia";"0";"0";"0";"0";"0";0;0;0
"Puolanka";"Finland";"Olonets";"Russia";"0";"0";"0";"0";"0";0;0;0
"Ristijarvi";"Finland";"Olonets";"Russia";"0";"0";"0";"0";"0";0;0;0
"Nokia";"Finland";"Oryol";"Russia";"0";"0";"0";"0";"0";0;0;0
"Joensuu";"Finland";"Petrozavodsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Varkaus";"Finland";"Petrozavodsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Orivesi";"Finland";"Pushkino";"Russia";"0";"0";"0";"0";"0";0;0;0
"Helsinki";"Finland";"St. Petersburg";"Russia";"1993";"1";"1";"1";"1";0;0;0
"Kotka";"Finland";"St. Petersburg";"Russia";"1997";"1";"1";"1";"1";0;0;0
"Mikkeli";"Finland";"St. Petersburg";"Russia";"1996";"0";"0";"1";"1";0;0;0
"Tampere";"Finland";"St. Petersburg";"Russia";"1993";"0";"0";"1";"1";0;0;0
"Forssa";"Finland";"Serpukhov";"Russia";"0";"0";"0";"0";"0";0;0;0
"Lohja";"Finland";"Shchyolkovo";"Russia";"0";"0";"0";"0";"0";0;0;0
"Valkeakoski";"Finland";"Sokol";"Russia";"0";"0";"0";"0";"0";0;0;0
"Joensuu";"Finland";"Sortavala";"Russia";"0";"0";"0";"0";"0";0;0;0
"Mantta-Vilppula";"Finland";"Stary Oskol";"Russia";"0";"0";"0";"0";"0";0;0;0
"Joensuu";"Finland";"Suoyarvi";"Russia";"0";"0";"0";"0";"0";0;0;0
"Imatra";"Finland";"Svetogorsk";"Russia";"0";"1";"1";"1";"1";0;0;0
"Imatra";"Finland";"Tikhvin";"Russia";"0";"0";"0";"0";"0";0;0;0
"Savonlinna";"Finland";"Torzhok";"Russia";"0";"0";"0";"0";"0";0;0;0
"Hameenlinna";"Finland";"Tver";"Russia";"0";"0";"0";"0";"0";0;0;0
"Seinajoki";"Finland";"Velikiye Luki";"Russia";"0";"0";"0";"0";"0";0;0;0
"Jarvenpaa";"Finland";"Volkhov";"Russia";"1961";"0";"0";"0";"0";0;0;0
"Lappeenranta";"Finland";"Vyborg";"Russia";"1987";"1";"1";"1";"1";0;0;0
"Haapavesi";"Finland";"Alvsbyn Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Maaninka";"Finland";"Angelholm Municipality";"Sweden";"0";"0";"0";"0";"0";0;0;0
"Oulu";"Finland";"Boden Municipality";"Sweden";"1948";"1";"1";"1";"1";0;0;0
"Jakobstad";"Finland";"Eslov Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
